"BA Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
SWPP,"10/24/2022 12 a.m. CDT",19887,0,537,40,0,2639,5319,0
SWPP,"10/24/2022 1 a.m. CDT",19634,0,537,38,0,2147,4603,0
SWPP,"10/24/2022 2 a.m. CDT",19794,0,538,38,0,2056,4313,0
SWPP,"10/24/2022 3 a.m. CDT",18927,0,547,43,0,2184,4265,0
SWPP,"10/24/2022 4 a.m. CDT",18839,0,547,40,0,2246,4234,0
SWPP,"10/24/2022 5 a.m. CDT",18419,0,549,43,0,2591,4187,0
SWPP,"10/24/2022 6 a.m. CDT",18521,0,565,41,0,3126,4293,0
SWPP,"10/24/2022 7 a.m. CDT",18047,0,892,32,0,3846,5035,0
SWPP,"10/24/2022 8 a.m. CDT",17198,0,1133,33,0,4414,6327,0
SWPP,"10/24/2022 9 a.m. CDT",16643,5,1144,33,14,4491,7177,0
SWPP,"10/24/2022 10 a.m. CDT",15880,38,1153,31,34,4486,7767,0
SWPP,"10/24/2022 11 a.m. CDT",15515,48,1192,31,38,4596,8315,0
SWPP,"10/24/2022 12 p.m. CDT",16526,38,1157,33,38,4586,7625,0
SWPP,"10/24/2022 1 p.m. CDT",16479,53,1139,36,10,5164,7239,0
SWPP,"10/24/2022 2 p.m. CDT",14892,81,1138,34,0,5473,7925,0
SWPP,"10/24/2022 3 p.m. CDT",13920,122,1140,32,0,5565,8370,0
SWPP,"10/24/2022 4 p.m. CDT",13324,113,1147,31,0,5668,8564,0
SWPP,"10/24/2022 5 p.m. CDT",13498,117,1169,33,0,5691,8313,0
SWPP,"10/24/2022 6 p.m. CDT",13660,53,1229,33,0,5707,7944,0
SWPP,"10/24/2022 7 p.m. CDT",12560,49,1273,34,1,6614,8654,0
SWPP,"10/24/2022 8 p.m. CDT",11682,7,1276,35,56,6957,9416,0
SWPP,"10/24/2022 9 p.m. CDT",11856,4,1189,45,90,6539,9293,0
SWPP,"10/24/2022 10 p.m. CDT",11713,0,945,48,88,5626,9416,0
SWPP,"10/24/2022 11 p.m. CDT",12850,0,708,46,87,4427,9119,0
SWPP,"10/25/2022 12 a.m. CDT",13657,0,569,49,5,3501,7747,0
SWPP,"10/25/2022 1 a.m. CDT",14153,0,569,48,0,3169,7390,0
SWPP,"10/25/2022 2 a.m. CDT",13783,0,570,47,0,2861,7419,0
SWPP,"10/25/2022 3 a.m. CDT",13815,0,562,47,0,2972,6889,0
SWPP,"10/25/2022 4 a.m. CDT",14039,0,556,47,0,3177,6693,0
SWPP,"10/25/2022 5 a.m. CDT",13898,0,556,47,0,3527,6853,0
SWPP,"10/25/2022 6 a.m. CDT",14042,0,593,47,0,4014,7271,0
SWPP,"10/25/2022 7 a.m. CDT",14288,0,985,47,37,4646,8135,0
